FAMILY,CLASS,SAMPLE,ECOLOGY,CODE,CHO02,CHO10,CHO22,CHO30,CHO44,CHO52,CHO66,CHO96,CHO116,CHO124,CHO132,CHA02,CHA24,CHA34,CHA46,CHA54,CHA90,CHA98,CHA118,CHA126,CHA.130,KAO02,KAO14,KAO28,KAO36,KAO50,KAO60,KAO86,KAO100,KAO106,KAO116,KAO132,KAO140,KAO158,KAO168
ROSACEAE,Dicot,Alchemilla,Afromontane Forests,05_AFROMONT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPINDACEAE,Dicot,Allophylus,Afromontane Forests,05_AFROMONT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMAROUBACEAE,Dicot,Brucea,Afromontane Forests,05_AFROMONT,14,10,30,34,35,17,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSACEAE,Dicot,Hagenia,Afromontane Forests,05_AFROMONT,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMB-MEL,Dicot,Comb-mel,Various,06_VARIOUS,0,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACARDIACEAE,Dicot,Anacardiaceae,Various,06_VARIOUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELASTRACEAE,Dicot,Celastraceae,Various,06_VARIOUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERICACAE,Dicot,Ericaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUPHORBIACEAE,Dicot,Euphorbiaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Fabaceae,Various,06_VARIOUS,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Caesalpinoideae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Mimosoideae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Papilionoideae,Various,06_VARIOUS,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMIACEAE,Dicot,Lamiaceae,Various,06_VARIOUS,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALVACEAE,Dicot,Malvaceae?,Various,06_VARIOUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLYGONACEAE,Dicot,Polygonaceae,Various,06_VARIOUS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPINDACEAE,Dicot,Sapindaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URTICACEAE,Dicot,Urticaceae,Various,06_VARIOUS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
UNKNOWNS,Various,Unknowns,Unknowns,07_UNKNOWN,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,1,0,6,0
